# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Becky	贝基	Bèi jī
Begoña	贝戈尼亚	Bèi gē ní yà
Belén	贝莲	Bèi lián
Bélinda	贝琳拉	Bèi lín lā
Belinda	贝琳达	Bèi lín dá
Belisario	贝利萨里奥	Bèi lì sà lǐ ào
Beltrán	贝尔特兰	Bèi rtè lán
Ben	本	Běn
Bénamar	贝纳马尔	Bèi nà mǎ ěr
Benancio	贝南西奥	Bèi nán xī ào
Benavente	贝纳文特	Bèi nà wén tè
Benavides	贝纳维德斯	Bèi nà wéi dé sī
Bénédicte	贝内迪克特	Bèi nèi dí kè tè
Benedicto	贝内迪克托	Bèi nèi dí kè tuō
Benedita	贝内蒂塔	Bèi nèi dì tǎ
Benedito	贝内迪托	Bèi nèi dí tuō
Benigno	贝尼尼奥	Bèi ní ní ào
Benita	贝妮塔	Bèi ní tǎ
Benito	贝尼托	Bèi ní tuō
Benjamim	本杰明	Běn jié míng
Benjamin	本沙明	Běn shā míng
Benjamin	本杰明	Běn jié míng
Benjy	夯吉	Hāng Jí
Benny	本尼	Běn ní
Benoît	伯努瓦	Bó nǔ wǎ
Bento	本托	Běn tuō
Benvingut	本文古	Běn wén Gǔ
Berakel	贝腊凯	Bèi là Kǎi
Bérangère	贝朗杰	Bèi lǎng jié
Berat	贝哈	Bèi Hā
Berengár	贝伦嘉	Bèi lún jiā
Bérengère	贝朗杰	Bèi lǎng jié
Berenguer	贝伦克尔	Bèi lún kèr
Bérénice	贝伦妮斯	Bèi lún ní sī
Berenice	贝伦妮斯	Bèi lún ní sī
Berkan	贝矸	Bèi gān
Berlinda	柏琳达	Bǎi lín dá
Bermudo	贝尔穆多	Bèi ěr mù duō
Bernabé	贝尔纳维	Bèi ěr nà wéi
Bernabè	巴尔纳贝	Bā ěr nà Bèi
Bernadette	伯纳蒂特	Bó nà dì té
Bernaldo	贝纳尔多	Bèi nà rduō
Bernard	伯纳德	Bó nà dé
Bernard	贝尔纳	Bèi ěr nà
Bernardette	贝纳黛特	Bèi nà Dài tè
Bernardí	贝尔纳丁	Bèi ěr nà dīng
Bernardina	贝纳蒂娜	Bèi nà dì nà
Bernardino	贝纳迪诺	Bèi nà dí nuò
Bernardo	贝尔纳多	Bèi rnà duō
Bernat	贝纳特	Bèi nà tè
Bernice	柏妮丝	Bǎi nī sī
Bernie	贝尔尼	Bèi ěr ní
Berta	贝尔塔	Bèi rtǎ
Berta	贝尔塔	Bèi ěr tǎ
Bertrand	贝特朗	Bèi té lǎng
Beta	布蕾塔	Bù lěi tǎ
Bethan	贝覃	Bèi tán
Bethany	贝塔尼	Bèi tǎ ní
Betsa	贝姹	Bèi chà
Betsy	贝琪	Bèi qí
Bettina	贝蒂娜	Bèi dì nà
Betto	贝托	Bèi tuō
Betty	贝蒂	Bèi dì
Betuca	北图卡	Běi tú Kǎ
Betül	贝图尔	Bèi tú ěr
Betzy	贝齐	Bèi qí
Beverley	贝弗莉	Bèi fú lì
Beviere	贝维尔	Bèi wéi ěr
Beyonce	碧昂斯	Bì áng sī
Bianca	碧昂卡	Bì áng kǎ
Bianka	碧昂卡	Bì áng Kǎ
Bibi	碧碧	Bì bì
Bibiana	碧碧安娜	Bì bì ān nà
Biel	碧艾	Bì Aì
Bilal	比拉尔	Bǐ lā ěr
Bilel	比雷尔	Bǐ léi ěr
Bilitis	碧丽蒂丝	Bì lì dì sī
Bill	比尔	Bǐ er
Billo	比卢	Bǐ lú
Billy	比利	Bǐ lì
Birger	比尔格	Bǐ ěr gé
Birgit	波吉特	Bō jí té
Bjarne	比亚尔恩	Bǐ yà ěr ēn
Bjorn	比尔恩	Bǐ ěr ēn
Björn	比尤恩	Bǐ Yóu ēn
Blai	布莱	Bù lái
Blaise	布莱斯	Bù lái sī
Blake	布莱克	Bù lái kè
Blanca	布兰卡	Bù lán kǎ
Blanche	布朗什	Bù lǎng shí
Blanche-Neige	布朗什·内日	Bù lǎng shí nèi rì
Blandine	布朗丁	Bù lǎng dīng
Blas	布拉斯	Bù lā sī
Bleuenn	布勒恩	Bù lēi ēn
Bob	鲍步	Bào bù
Bobbie	博比	Bó bǐ
Bobby	鲍比	Bào bǐ
Bodo	搏斗	Bó dòu
Bogdan	伯格丹	Bó gé dān
Bogusław	伯古斯瓦夫	Bó gǔ sī wǎ fū
Bolete	波雷特	Bō léi tè
Bommel	博梅尔	Bó Méi ěr
Bonaventura	伯纳文图拉	Bó nà wén tú lā
Bonifacio	博尼法西奥	Bó ní fǎ xī ào
Bonifácio	波尼法西奥	Bō ní fǎ xī ào
Bonnaveira	鲍纳维拉	Bào nà wéi lā
Bonnie	伯尼	Bó ní
Booba	布巴	Bù bā
Bora	鲍拉	Bào lā
Boré	波雷	Bō léi
Boris	鲍里斯	Bào lǐ sī
Borja	博尔哈	Bó rhā
Boubakeur	布巴克尔	Bù Bā kè ěr
Bouchlaghem	布什拉戈姆	Bù shí lā gē mǔ
Bouchlaquem	布什拉克姆	Bù shí lā kè mǔ
Bouchra	布什哈	Bù shí hā
Bouli	布莉	Bù lì
Boutaina	布大伊娜	Bù dà yī nà
Bouyzane	布西安	Bù xī ān
Brad	布拉德	Bù lā dé
Bradley	布拉德利	Bù lā dé lì
Brahim	布拉伊姆	Bù lā yī mǔ
Branca	布朗卡	Bù lǎng kǎ
Brandan	布兰丹	Bù lán dān
Brandi	布兰迪	Bù lán dí
Brandon	布阑登	Bù lán dēng
Branka	布兰卡	Bù lán Kǎ
Bras	布拉斯	Bù lā sī
Brasão	布拉桑	Bù lā sāng
Braulio	布劳略	Bù láo lüè
Breiner	布莱内	Bù lái nèi
Breizhlander	布雷兹朗德	Bù léi zī lǎng dé
Brenda	布兰达	Bù lán dá
Brendan	布兰丹	Bù lán dān
Brendon	布兰登	Bù lán dēng
Breno	布雷诺	Bù léi nuò
Brent	布兰特	Bù lán tè
Brett	布雷特	Bù léi tè
Briag	布里亚格	Bù lǐ yà gé
Brian	布莱恩	Bù lái ēn
Brianne	布里安	Bù lǐ ān
Brice	布里斯	Bù lǐ sī
Bridget	布里吉特	Bù lǐ jí tè
Bridie	布里迪	Bù lǐ dí
Brigitte	布里吉特	Bù lǐ jí té
Britanny	布里塔尼	Bù lǐ tǎ ní
Brittany	布里塔尼	Bù lǐ tǎ ní
Brodeur	布罗德尔	Bù luó dé ěr
Bronson	布兰森	Bù lán sēn
Brooke	布鲁克	Bù lǔ kè
Brown	布瓦恩	Bù wǎ ēn
Bruce	布鲁斯	Bù lǔ sī
Bruna	布鲁纳	Bù lǔ nà
Brunella	布鲁内拉	Bù lǔ nèi lā
Brunin	布鲁宁	Bù lǔ nín
Bruno	布鲁诺	Bù lǔ nuò
Bryan	布莱恩	Bù lái ēn
Bryand	布莱恩德	Bù lái ēn dé
Bryanna	布莱娅娜	Bù lái yà nà
Brynna	布莉娜	Bù lì nà
Bryony	布莱妮	Bù lái nī
Btisam	贝蒂萨姆	Bèi dì sà mǔ
Buenaventura	布埃斯文图拉	Bù āi sī wén tú lā
Buh	布	Bù
Burak	布拉克	Bù lā kè
Bya	巴雅	Bā Yǎ
Byron	拜伦	Bài lún
Cabral	卡布拉	Kǎ Bù lā
Caddy	卡迪	Kǎ dí
Caden	卡登	Kǎ dēng
Cadena	卡德纳	Kǎ dé nà
Caetà	凯棠	Kǎi táng
Caetano	凯塔诺	Kǎi tǎ nuò
Cailin	凯琳	Kǎi lín
Caio	凯奥	Kǎi ào
Caiquy	凯葵	Kǎi kuí
Caitlin	凯特琳	Kǎi tè lín
Caleb	卡雷布	Kǎ léi bù
Calebe	卡雷布	Kǎ léi Bù
Cali	卡莉	Kǎ lì
Caliel	卡丽艾	Kǎ lì Aì
Calista	卡莉丝塔	Kǎ lì sī tǎ
Calixto	卡利斯托	Kǎ lì sī tuō
Callum	卡卢姆	Kǎ Lú mǔ
Calvin	卡尔文	Kǎ ěr wén
Calvino	卡尔维诺	Kǎ rwéi nuò
Caly	卡里	Kǎ lǐ
Calypso	卡丽布索	Kǎ lì Bù suǒ
Camargo	卡马尔格	Kǎ Mǎ ěr gé
Camélia	卡梅莉娅	Kǎ méi lì yà
Camellia	卡梅莉娅	Kǎ méi lì yà
Cameron	卡梅隆	Kǎ méi lóng
Camil	喀蜜	Kā Mì
Camila	卡米拉	Kǎ mǐ lā
Camilienne	卡米里安娜	Kǎ mǐ lǐ ān nà
Camille	卡米耶	Kǎ mǐ yē
Camilo	卡米洛	Kǎ mǐ luò
Camissa	卡米萨	Kǎ mǐ sà
Campo	坎波	Kǎn bō
Camyl	卡米尔	Kǎ mǐ ěr
Candace	坎迪斯	Kǎn dí sī
Candela	坎德拉	Kǎn dé lā
Candelaria	坎德拉利亚	Kǎn dé lā lì yà
Candelária	康德拉丽亚	Kāng dé lā lì yà
Candice	坎迪丝	Kǎn dí sī
Cándido	坎迪多	Kǎn dí duō
Candie	甘蒂	Gān dì
Candy	甘蒂	Gān dì
Candy	康蒂	Kāng dì
Cannelle	卡内尔	Kǎ nèi ěr
Caoimhe	卡奥恩	Kǎ ào ēn
Caorou	高鲁	Gāo lǔ
Capucine	卡普辛	Kǎ pǔ xīn
Cardinali	卡尔蒂娜丽	Kǎ ěr dì nà lì
Carena	卡蕾娜	Kǎ lěi nà
Carina	卡莉娜	Kǎ lì nà
Carine	卡琳	Kǎ lín
Carla	卡尔拉	Kǎ ěr lā
Carlee	卡尔莉	Kǎ ěr lì
Carles	卡雷斯	Kǎ léi sī
Carles	喀尔雷斯	Kā ěr léi sī
Carlito	卡尔利托	Kǎ ěr lì tuō
Carlitos	卡尔利托斯	Kǎ ěr lì tuō sī
Carlo	卡洛	Kǎ luò
Carlone	卡尔伦	Kǎ ěr lún
Carlos	卡洛斯	Kǎ luò sī
Carlota	卡洛塔	Kǎ luò tǎ
Carlota	喀萝塔	Kā Luó tǎ
Carly	卡尔利	Kǎ ěr lì
Carme	喀尔美	Kā ěr měi
Carmelo	卡梅罗	Kǎ méi luó
Carmen	卡门	Kǎ mén
Carmo	卡尔莫	Kǎ ěr mò
Caro	卡罗	Kǎ luō
Carol	卡罗尔	Kǎ luō er
Carola	卡洛拉	Kǎ luò lā
Carolane	卡罗兰	Kǎ luó lán
Carolanne	卡罗兰	Kǎ luó lán
Carole	卡罗尔	Kǎ luō er
Carolina	卡罗利娜	Kǎ luó lì nà
Caroline	卡罗琳	Kǎ luó lín
Carolyn	卡洛林	Kǎ luò lín
Carrie	凯莉	Kǎi lì
Carsten	卡尔斯屯	Kǎ ěr sī tún
Casandra	卡桑德拉	Kǎ sāng dé lā
Casey	凯西	Kǎi xī
Casiano	卡西亚诺	Kǎ xī yà nuò
Casimiro	卡西米罗	Kǎ xī mǐ luó
Casio	卡西奥	Kǎ xī ào
Caso	卡索	Kǎ suǒ
Casper	卡斯派	Kǎ sī pài
Cassandra	卡桑德拉	Kǎ sāng dé lā
Cassandre	卡桑德	Kǎ sāng dé
Cassey	凯西	Kǎi xī
Cássia	卡霞	Kǎ xiá
Cassiano	卡夏诺	Kǎ Xià nuò
Cassidy	卡希蒂	Kǎ xī dì
Cassie	Jae	卡斯杰 Kǎ sī Jié
Cast	喀斯特	Kā sī tè
Catacha	卡塔莎	Kǎ tǎ shā
Catalina	卡达利娜	Kǎ dá lì nà
Catarina	卡塔丽娜	Kǎ tǎ lì nà
Caterina	喀特琳娜	Kā tè lín nà
Catherina	凯特琳娜	Kǎi tè lín nà
Catherina	凯瑟琳娜	Kǎi sè lín nà
Catherine	凯特琳	Kǎi tè lín
Catherine	凯瑟琳	Kǎi sè lín
Cathialine	凯缇阿琳	Kǎi Tí Ā lín
Cathie	凯缇	Kǎi tí
Cathleen	凯斯琳	Kǎi sī lín
Cathy	凯西	Kǎi xī
Catia	卡提亚	Kǎ tí yà
Cátia	卡蒂娅	Kǎ dì yà
Catilina	卡蒂利娜	Kǎ dì lì nà
Catina	卡缇娜	Kǎ tí nà
Catline	卡特琳	Kǎ tè lín
Catón	卡顿	Kǎ dùn
Catrin	凯特琳	Kǎi tè lín
Cayden	凯灯	Kǎi dēng
Cayetano	卡耶塔诺	Kǎ yē tǎ nuò
Cecibel	瑟茜贝	Sè xī bèi
Cécile	赛茜儿	Sài xī er
Cecile	赛茜儿	Sài xī er
Cecilia	塞西莉亚	Sāi xī lì yà
Cécilia	瑟西莉娅	Sè xī lì yà
Cecília	瑟西莉娅	Sè xī lì yà
Cécilien	塞西利安	Sāi xī lì ān
Cecilio	塞西利奥	Sāi xī lì ào
Cédric	塞德里克	Sāi dé lǐ kè
Cedric	塞德里克	Sāi dé lǐ kè
Cédrine	塞德霖	Sāi dé lín
Ceferino	塞费里诺	Sài fèi lǐ nuò
Ceki	泽凯	Zé kǎi
Celdán	塞尔丹	Sài rdān
Celena	塞蕾娜	Sāi lěi nà
Celeste	西莱斯特	Xī lái sī tè
Celestí	斯雷斯丁	Sī léi sī dīng
Célestin	塞莱斯坦	Sāi lái sī tǎn
Celestine	塞莱斯汀	Sāi lái sī tīng
Célestine	塞莱斯汀	Sāi lái sī tīng
Celestino	塞莱斯蒂诺	Sāi lái sī dì nuò
Célia	塞莉娅	Sāi lì yà
Celia	希莉娅	Xī lì yà
Célia	瑟莉娅	Sè lì yà
Célian	塞利昂	Sāi lì áng
Célicia	塞希莉娅	Sāi xī lì yà
Celina	塞丽娜	Sāi lì nà
Céline	塞琳	Sài lín
Celio	西里欧	Xī lǐ ōu
Celso	塞尔索	Sài rsuǒ
Celya	塞莉娅	Sāi lì yà
Cem	塞姆	Sāi mǔ
Cemile	瑟弥勒	Sè mí lè
Cennet	塞内特	Sāi nèi tè
Cerrada	关上	Guān shàng
Cervantes	塞万提斯	Sāi wàn dī sī
Cerys	塞瑞斯	Sāi ruì sī
Cesar	西泽	Xī zé
César	塞萨尔	Sāi sà ěr
Cèsar	塞萨尔	Sāi sà ěr
Cesáreo	塞萨雷奥	Sài sà léi ào
Cevane	塞瓦娜	Sāi wǎ nà
Cezary	茨萨雷	Cí sà léi
Chad	查德	Chá dé
Chadi	沙迪	Shā dí
Chahid	沙伊德	Shā Yī dé
Chaiko	筛口	Shāi kǒu
Chaïma	查伊玛	Chá yī mǎ
Chaïmaa	查伊玛	Chá Yī Mǎ
Chakib	沙克布	Shā kè bù
Chanel	夏奈尔	Xià nài ěr
Chanelle	夏奈尔	Xià nài ěr
Chantal	尚塔尔	Shàng tǎ er
Chantale	尚塔尔	Shàng tǎ ěr
Chantel	尚特尔	Shàng tè ěr
Chantelle	占特尔	Zhàn tè ěr
Charleen	查琳	Chá lín
Charlena	查莲娜	Chá lián nà
Charlene	查莲	Chá lián
Charlène	夏莲	Xià lián
Charles	查而斯	Chá ér sī
Charles	夏尔	Xià er
Charley	查利	Chá lì
Charlie	查利	Chá lì
Charline	沙尔琳	Shā ěr lín
Charlize	查理兹	Chá lǐ zī
Charllène	沙尔莲	Shā ěr lián
Charlotte	夏绿蒂	Xià lǜ dì
Charly	查利	Chá lì
Charrette	沙蕾德	Shā lěi dé
Chase	蔡斯	Cài sī
Chatelle	沙泰	Shā Tài
Chaymaa	沙伊玛	Shā yī mǎ
Cheick	谢克	Xiè kè
Chelsea	切尔西	Qiè ěr xi
Chelsey	切尔西	Qiè ěr xi
Chema	切玛	Qiē mǎ
Cherazade	雪拉扎德	Xuě lā zā dé
Chérifa	雪娜莉法	Xuě nà lì Fǎ
Cherisanne	谢丽散	Xiè lì sǎn
Cheryl	谢丽尔	Xiè lì ěr
Cheyenne	诗燕	Shī Yàn
Chiara	基娅拉	Jī yà lā
Chica	茜卡	Xī kǎ
Chicho	池稠	Chí chóu
Chico	奇科	Qí kē
Chifaa	吉法阿	Jí Fǎ Ā
Chiraz	茜拉丝	Xī lā sī
Chirine	奇琳	Qí lín
Chloé	克罗埃	Kè luó āi
Chris	克里斯	Kè lǐ sī
Christ	基督	Jī dū
Christalline	克里斯塔琳	Kè lǐ sī tǎ lǐn
Christelle	克里斯泰	Kè lǐ sī tài
Christène	克莉斯戴恩	Kè lì sī Dài ēn
Christi	科利斯蒂	Kē lì sī dì
Christian	克里斯蒂安	Kè lǐ sī dì ān
Christian	克里斯蒂昂	Kè lǐ sī dì áng
Christiane	克里斯蒂安	Kè lǐ sī dì ān
Christie	克里斯蒂	Kè lǐ sī dì
Christin	克里斯丁	Kè lǐ sī dīng
Christina	克里斯蒂娜	Kè lǐ sī dí nà
Christine	克莉斯婷	Kè lì sī tíng
Christo	克来斯多	Kè lái sī duō
Christophe	克来斯多夫	Kè lái sī duō fū
Christopher	克来斯多夫	Kè lái sī duō fū
Christophine	克莱斯多芬	Kè lái sī duō fēn
Christy	克里斯蒂	Kè lǐ sī dì
Chrystalle	克里斯泰	Kè lǐ sī tài
Chrystelle	克里斯泰	Kè lǐ sī tài
Chucho	丘乔	Qiū qiáo
Ciani	瑕尼	Xiá ní
Ciaran	塞伦	Sāi lún
Cibele	茜贝拉	Xī Bèi lā
Cibelle	茜贝	Xī Bèi
Cicerón	西塞龙	Xī sài lóng
Cid	熙德	Xī dé
Cidalia	希达莉娅	Xī dá lì yà
Cidji	西琦	Xī Qí
Cindie	辛迪	Xīn dí
Cindy	辛迪	Xīn dí
Cintete	新特特	Xīn tè tè
Cintia	辛蒂亚	Xīn dì yà
Cíntia	辛蒂娅	Xīn dì yà
Cipria	西浦良	Xī pǔ liáng
Cipriano	西普里亚诺	Xī pǔ lǐ yà nuò
Circe	喀耳刻	Kā ěr kè
Cirilo	西里洛	Xī lǐ luò
Ciro	西罗	Xī luó
Claire	克莱尔	Kè lái er
Clara	克莱拉	Kè lái lā
Clarette	克拉瑞特	Kè lā ruì tè
Clarisse	克拉丽丝	Kè lā lí sī
Clary	克莱莉	Kè lái lì
Claude	克劳德	Kè láo dé
Claudete	克劳黛特	Kè Láo Dài tè
Claudette	克劳蒂特	Kè Láo dì tè
Claudia	克劳迪娅	Kè láo dí yà
Claudie	克劳迪	Kè láo dí
Claudina	克劳迪娜	Kè láo dí nà
Claudine	克劳汀	Kè láo tīng
Claudio	克劳迪噢	Kè láo dí ō
Claudy	克劳迪	Kè láo dí
Clea	克丽	Kè lí
Cléa	克蕾娅	Kè lěi yà
Cleber	克雷贝尔	Kè léi Bèi ěr
Cléber	克莱贝	Kè lái Bèi
Cleia	克莱雅	Kè lái Yǎ
Cleiton	克雷屯	Kè léi tún
Clélia	柯蕾丽娅	Kē lěi lì yà
Clémence	克雷芒丝	Kè léi máng sī
Clemencia	克莱门西亚	Kè lái mén xī yà
Clément	克雷芒	Kè léi máng
Clemente	克莱门特	Kè lái mén tè
Clémentine	克雷芒汀	Kè léi máng tīng
Clementine	克莱门蒂娜	Kè lái mén dì nà
Cleopatra	克蕾奥帕特拉	Kè lěi ào pà té lā
Cléopatre	克蕾奥帕特拉	Kè lěi ào pà té lā
Clermont	克莱蒙	Kè lái mēng
Clervie	克莱尔维	Kè lái ěr wéi
Cleto	克蕾托	Kè lěi tuō
Cleverson	克雷维森	Kè léi wéi sēn
Cleverton	克雷维屯	Kè léi wéi tún
Climène	克丽门	Kè lì mén
Climent	克利蒙	Kè lì mēng
Clio	科莉欧	Kē lì ōu
Cloé	克罗埃	Kè luó āi
Clotario	克洛塔里奥	Kè luò tǎ lǐ ào
Clothilde	克洛蒂尔	Kè luò dì er
Clotilde	克洛蒂尔	Kè luò dì er
Clovis	克罗维斯	Kè luó wéi sī
Cochise	科奇斯	Kē qí sī
Cody	科迪	Kē dí
Coen	磙	Gǔn
Cole	克勒	Kè lè
Colette	柯莱特	Kē lái té
Colin	科琳	Kē lín
Coline	科琳	Kē lín
Colleen	科琳	Kē lín
Colombe	科隆	Kē lóng
Côme	科姆	Kē mǔ
Concepción	孔塞普西翁	Kǒng sài pǔ xī wēng
Concetta	孔折塔	Kǒng zhé tǎ
Concha	孔查	Kǒng chá
Conchi	孔奇	Kǒng qí
Connor	康纳	Kāng nà
Conny	科妮	Kē nī
Conor	康纳	Kāng nà
Conrado	孔拉多	Kǒng lā duō
Constance	康斯坦斯	Kāng sī tǎn sī
Constancia	康斯坦西亚	Kāng sī tǎn xī yà
Constancio	康斯坦西奥	Kāng sī tǎn xī ào
Constantí	康斯棠汀	Kāng sī táng tīng
Constantin	康斯坦丁	Kāng sī tǎn dīng
Constantino	康斯坦丁诺	Kāng sī tǎn dīng nuò
Constantinus	康斯坦丁努斯	Kāng sī tǎn dīng nǔ sī
Constanza	康斯坦札	Kāng sī tǎn zhá
Constanze	孔丝唐丝	Kǒng sī Táng sī
Consuelo	孔苏埃洛	Kǒng sū āi luò
Conswala	孔斯瓦拉	Kǒng sī wǎ lā
Cooper	库珀	Kù pò
Coral	科拉尔	Kē lā r
Coralia	柯拉莉娅	Kē lā lì yà
Coralie	柯拉莉	Kē lā lì
Coraline	柯拉琳	Kē lā lín
Cordeiro	克德罗	Kè dé luó
Corentin	科朗汀	Kē lǎng tīng
Corentine	科朗汀	Kē lǎng tīng
Corey	克里	Kè lǐ
Corina	科利纳	Kē lì nà
Corinna	科琳娜	Kē lín nà
Corinne	科琳	Kē lín
Cornelio	科尔内略	Kēr nèi lüè
Cornélio	科尔内利奥	Kē ěr nèi lì ào
Cornelius	克内柳丝	Kè nèi liǔ sī
Cory	克里	Kè lǐ
Cosette	柯塞特	Kē sāi tè
Cosima	克希马	Kè xī mǎ
Cosme	科斯梅	Kē sī méi
Cosme	克斯梅	Kè sī Méi
Courtney	考特尼	Kǎo tè ní
Couto	库透	Kù tòu
Covadonga	科瓦东加	Kē wǎ dōng jiā
Craig	克雷格	Kè léi gé
Crispín	克里斯平	Kè lǐ sī píng
Crissy	克里茜	Kè lǐ xī
Cristhiam	克里斯蒂安	Kè lǐ sī dì ān
Cristhian	克里斯蒂安	Kè lǐ sī dì ān
Cristi	克莉斯蒂	Kè lì sī dì
Cristian	克里斯蒂安	Kè lǐ sī dì ān
Cristiano	克里斯蒂亚诺	Kè lǐ sī dì yà nuò
Cristie	克莉斯蒂	Kè lì sī dì
Cristina	克里斯蒂娜	Kè lǐ sī dì nà
Cristine	克莉斯汀	Kè lì sī tīng
Cristino	克里斯蒂诺	Kè lǐ sī dì nuò
Cristo	克里斯托	Kè lǐ sī tuō
Cristóbal	克里斯托瓦尔	Kè lǐ sī tuō wǎ r
Cristofol	克里斯托佛	Kè lǐ sī tuō Fó
Cristofor	克里斯托佛	Kè lǐ sī tuō Fó
Cristóvão	科里斯托瓦奥	Kē lǐ sī tuō wǎ ào
Cruz	克鲁斯	Kè lǔ sī
Crystal	克里斯塔尔	Kè lǐ sī tǎ ěr
Cueva	奎瓦斯	Kuí wǎ sī
Cunégonde	酷内恭德	Kù nèi gōng dé
Curtis	柯蒂斯	Kē dì sī
Cydi	茜蒂	Xī dì
Cylas	西拉斯	Xī lā sī
Cyliane	茜丽安	Xī lì ān
Cynthia	辛西娅	Xīn xī yà
Cynthia	辛蒂娅	Xīn dì yà
Cyprien	西普里安	Xī pǔ lǐ ān
Cyriac	西里亚克	Xī lǐ yà kè
Cyrian	西利昂	Xī lì áng
Cyrielle	西丽尔	Xī lì ěr
Cyril	西里尔	Xī lǐ ěr
Cyrille	西里尔	Xī lǐ er
Cyrine	茜琳	Xī lín
Czesław	茨斯拉夫	Cí sī lā fū
Dadou	达杜	Dá dù
Dafnée	达芙妮	Dá fú nī
Dafydd	达非德	Dá fēi dé
Dagmar	达格玛	Dá gé mǎ
Daiana	戴娜	Dài nà
Daiane	达雅恩	Dá Yǎ ēn
Daisy	戴西	Dài xī
Dajana	达贾娜	Dá Jiǎ nà
Daliane	达莉安	Dá lì ān
Dalibor	达利波	Dá lì bō
Dalila	达利拉	Dá lì lā
Dallana	达拉纳	Dá lā nà
Dallas	达拉斯	Dá lā sī
Damaso	达马索	Dá mǎ suǒ
Damian	达米安	Dá mǐ ān
Damiãno	大米阿诺	Dà mǐ ā nuò
Damien	达米恩	Dá mǐ ēn
Damir	达米尔	Dá mǐ ěr
Damon	戴蒙	Dài mēng
Dan	丹	Dān
Dana	丹娜	Dān nà
Danaé	达娜伊	Dá nà Yī
Danaly	达哪丽	Dá nǎ lì
Dang	党	Dǎng
Dani	丹尼	Dān ní
Daniel	丹尼尔	Dān ní ěr
Daniel	丹尼	Dān ní
Daniela	丹涅拉	Dān niè lā
Danièle	丹妮尔	Dān nī ěr
Danielle	丹妮尔	Dān nī er
Danika	达妮卡	Dá nī Kǎ
Danila	达妮拉	Dá nī lā
Danilo	达尼洛	Dá ní luò
Danjela	达妮艾拉	Dá nī Aì lā
Danndara	旦达拉	Dàn dá lā
Danny	丹尼	Dān ní
Dante	丹特	Dān tè
Dany	丹尼	Dān ní
Danya	达妮娅	Dá nī yà
Daphne	达芙妮	Dá fú nī
Daphnée	达芙妮	Dá fú nī
Darby	达尔贝	Dá ěr Bèi
Darcie	达尔西	Dá ěr xī
Darcy	达尔西	Dá ěr xī
Darian	达里安	Dá lǐ ān
Darío	达里奥	Dá lǐ ào
Dário	大力奥	Dà lì ào
Dariusz	大力尤什	Dà lì yóu shí
Darlene	达二莲	Dá èr lián
Darlin	达尔琳	Dá ěr lín
Darrell	达瑞尔	Dá ruì ěr
Darren	达伦	Dá lún
Darron	德忈	Dé Rén
Darwin	达尔文	Dá ěr wén
Daryl	达里尔	Dá lǐ ěr
Dave	戴夫	Dài fū
Davi	大卫	Dà wèi
David	大卫	Dà wèi
Davide	戴维德	Dài wéi dé
Davina	戴维娜	Dài wéi nà
Davor	达沃	Dá wò
Davy	大卫	Dà wèi
Dawid	大卫	Dà wèi
Dawson	道森	Dào sēn
Dayana	达娅娜	Dá yà nà
Dean	迪恩	Dí ēn
Debbie	德碧	Dé bì
Debborah	黛博拉黛	Dài bó lā Dài
Debby	德比	Dé bǐ
Debora	德沃拉	Dé wò lā
Débora	黛博拉	Dài bó lā
Deborah	黛博拉	Dài bó lā
Decio	德乔	Dé qiáo
Declan	迪克兰	Dí kè lán
Dédé	德德	Dé dé
Dee	蒂	Dì
Deirdre	黛尔德雷	Dài ěr dé léi
Deivid	大维德	Dà wéi dé
Deiziane	黛茨安	Dài cí ān
Deleon	德蕾昂	Dé lěi áng
Delfine	达芬	Dá fēn
Delfino	德尔菲诺	Dér fēi nuò
Delia	黛莉娅	Dài lì yà
Delizia	黛丽丽	Dài lì lì
Delma	戴尔马	Dài ěr Mǎ
Delphine	达芬	Dá fēn
Demetrio	德梅特里奥	Dé méi tè lǐ ào
Demian	德米安	Dé mǐ ān
Demóstenes	德莫斯特内斯	Dé mò sī tè nèi sī
Denis	德尼	Dé ní
Denise	丹妮丝	Dān nī sī
Deniz	德尼斯	Dé ní sī
Dennis	丹尼斯	Dān ní sī
Deolinda	德奥琳达	Dé ào lín dá
Déreck	待雷克	Dài léi kè
Derek	德里克	Dé lǐ kè
Derik	德雷克	Dé léi kè
Desidéria	黛希德莉娅	Dài xī dé lì yà
Desiderio	德西德里奥	Dé xī dé lǐ ào
Desidério	德希德利奥	Dé xī dé lì ào
Desire	德西雷	Dé xī léi
Despina	德丝皮娜	Dé sī Pí nà
Desree	黛丝瑞	Dài sī ruì
Destiny	黛丝蒂妮	Dài sī dì nī
Devis	德维斯	Dé wéi sī
Devlin	德福琳	Dé Fú lín
Devon	德万	Dé wàn
Devonne	黛文	Dài wén
Devota	德奥塔	Dé ào tǎ
Dhouha	图哈	Tú Hā
Diahala	蒂娅拉	Dì yà lā
Diamantina	蒂阿曼缇娜	Dì ā màn tí nà
Diamantino	迪亚曼陀	Dí yà màn tuó
Diana	黛安娜	Dài ān nà
Diana	蒂安娜	Dì ān nà
Diandra	蒂安德拉	Dì ān dé lā
Diane	迪安	Dí ān
Diane	黛安	Dài ān
Dídac	迪达克	Dí dá kè
