# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Alanis	阿拉尼斯	Ā lā ní sī
Alanna	阿拉娜	Ā lā nà
Alaric	阿拉里克	Ā lā lǐ kè
Alaura	阿劳拉	Ā Láo lā
Alba	阿尔瓦	Ā rwǎ
Albà	阿尔巴	Ā ěr Bā
Alban	阿尔本	Ā ěr běn
Alban	阿尔邦	Ā ěr bāng
Albane	阿尔班	Ā ěr bān
Albéric	阿尔贝里克	Ā ěr bèi lǐ kè
Albérico	阿贝里克	Ā Bèi lǐ kè
Albert	阿尔伯特	Ā ěr bó té
Albert	阿尔贝	Ā ěr bèi
Alberta	阿尔伯塔	Ā ěr bó tǎ
Alberta	阿尔贝塔	Ā ěr bèi tǎ
Alberte	阿尔贝特	Ā ěr bèi té
Alberto	阿尔维托	Ā rwéi tuō
Albina	阿尔碧娜	Ā ěr bì nà
Albrecht	阿尔伯特	Ā ěr bó tè
Alcida	阿尔希达	Ā ěr xī dá
Alcide	阿尔西德	Ā ěr xī dé
Alcides	阿尔西德斯	Ā rxī dé sī
Alcino	阿尔西诺	Ā ěr xī nuò
Aldana	阿尔达纳	Ā rdá nà
Aldemba	阿尔登巴	Ā ěr dēng bā
Aldéric	阿尔德里克	Ā ěr dé lǐ kè
Aldina	阿尔蒂纳	Ā ěr dì nà
Aldo	阿尔多	Ā rduō
Aldric	阿尔德里克	Ā ěr dé lǐ kè
Alec	阿雷克	Ā léi kè
Alegría	阿莱格里亚	Ā lái gé lǐ yà
Aleix	阿雷克斯	Ā léi kè sī
Aleix	阿雷克斯	Ā léi kè sī
Alejandra	亚丽杭德拉	Yà lì háng dé lā
Alejandro	亚历杭德罗	Yà lì háng dé luó
Alejo	阿莱霍	Ā lái huò
Aleksander	亚历山大	Yà lì shān dà
Aleksandra	亚历山德拉	Yà lì shān dé lā
Alem	阿雷姆	Ā léi mǔ
Alen	阿伦	Ā lún
Alessandra	阿蕾桑德拉	Ā lěi sāng dé lā
Alessandro	阿历桑德罗	Ā lì sāng dé luó
Alessia	阿莱西亚	Ā lái xī yà
Alessio	阿雷西欧	Ā léi xī ōu
Alex	阿列克斯	Ā liè kè sī
Alex	阿雷克斯	Ā léi kè sī
Álex	阿雷克斯	Ā léi kè sī
Alexa	阿蕾科沙	Ā lěi kē shā
Alexander	亚历山大	Yà lì shān dà
Alexandra	亚历山德拉	Yà lì shān dé lā
Alexandre	亚历山大	Yà lì shān dà
Alexandrine	亚历山德琳	Yà lì shān dé lín
Alexandrine	亚历山德琳	Yà lì shān dé lín
Alexandros	亚历桑德罗斯	Yà lì sāng dé luó sī
Alexane	阿蕾克三	Ā lěi kè sān
Alexia	亚莉克希亚	Yà lì kè xī yà
Alexiane	阿蕾可西安	Ā lěi kě xī ān
Alexina	阿蕾克茜娜	Ā lěi kè xī nà
Alexis	阿列克西	Ā liè kè xī
Alfarroba	阿法罗巴	Ā Fǎ luó Bā
Alfonsina	阿凤茜娜	Ā fèng xī nà
Alfonso	阿方索	Ā fāng suǒ
Alfred	阿尔弗雷德	Ā ěr fú léi dé
Alfredo	阿尔弗雷多	Ā rfú léi duō
Alhondra	阿红达	Ā hóng dá
Ali	阿里	Ā lǐ
Alia	阿丽娅	Ā lì yà
Alice	爱丽丝	Aì lì sī
Alicia	艾莉西亚	Aì lì xī yà
Alícia	芽莉霞	Yá lì xiá
Alicja	艾莉西亚	Aì lì xī yà
Alida	阿里达	Ā lǐ dá
Alila	阿丽拉	Ā lì lā
Alime	阿利姆	Ā lì mǔ
Alina	阿莉娜	Ā lì nà
Aline	艾琳	Aì lín
Aline	阿琳	Ā lín
Alisa	艾莉莎	Aì lì shā
Alisee	阿丽西	Ā lì xī
Alison	阿莉森	Ā lì sēn
Alissa	阿莉萨	Ā lì sà
Alisson	阿莉森	Ā lì sēn
Alix	阿里克斯	Ā lǐ kè sī
Alizée	艾莉婕	Aì lì jié
Allan	阿兰	Ā lán
Allaya	阿拉娅	Ā lā yà
Allen	阿伦	Ā lún
Allison	埃里森	Aī lǐ sēn
Allison	艾莉森	Aì lì sēn
Alma	阿尔马	Ā rmǎ
Almeida	阿尔梅达	Ā ěr Méi dá
Almérinda	阿尔梅林达	Ā ěr méi lín dá
Almudena	阿拉木德娜	Ā lā mù dé nà
Alneir	阿尔内	Ā ěr nèi
Aloïs	阿罗伊丝	Ā luoyī sī
Aloisio	阿洛伊西奥	Ā luò yī xī ào
Alonso	阿隆索	Ā lóng suǒ
Aloysia	阿罗伊茜娅	Ā luó Yī xī yà
Altamiro	阿塔米洛	Ā tǎ mǐ luò
Altenir	阿特尼尔	Ā tè ní ěr
Althea	阿尔特阿	Ā ěr tè Ā
Álvar	阿尔瓦	Ā ěr wǎ
Alvaro	阿尔瓦洛	Ā ěr wǎ luò
Álvaro	阿尔瓦罗	Ā ěr wǎ luó
Alvine	阿尔文	Ā ěr wén
Alya	阿莉娅	Ā lì yà
Alyah	阿莉雅	Ā lì Yǎ
Alycia	艾莉西亚	Aì lì xī yà
Alys	艾莉丝	Aì lì sī
Alyssa	艾莉莎	Aì lì shā
Alyssia	艾莉西亚	Aì lì xī yà
Ama	阿玛	Ā Mǎ
Amadeo	阿马德奥	Ā mǎ dé ào
Amadeus	阿马德乌斯	Ā mǎ dé wū sī
Amado	阿马多	Ā mǎ duō
Amador	阿马多尔	Ā mǎ duō r
Amal	阿马尔	Ā Mǎ ěr
Amalia	阿马丽亚	Ā mǎ lì yà
Amance	阿芒丝	Ā máng sī
Amancio	阿曼西奥	Ā màn xī ào
Amanda	阿曼达	Ā màn dá
Amandine	阿芒丁	Ā máng dīng
Amar	阿马尔	Ā mǎ ěr
Amara	阿玛拉	Ā mǎ lā
Amarande	阿玛朗德	Ā Mǎ lǎng dé
Amaranta	阿马兰塔	Ā mǎ lán tǎ
Amata	阿马塔	Ā mǎ tǎ
Amaury	阿毛利	Ā máo lì
Amaya	阿马亚	Ā mǎ yà
Ámbar	安	Ān bar
Amber	安伯	Ān bó
Ambre	安波	Ān bō
Ambrine	安波琳	Ān bō lín
Ambrosio	安布罗西奥	Ān bù luó xī ào
Amédée	阿梅蒂	Ā méi dì
Amedeo	阿米地奥	Ā mǐ dì ào
Amédine	阿梅丁	Ā méi dīng
Amel	阿梅尔	Ā méi ěr
Amelia	阿梅丽娅	Ā méi lí yà
Amélia	阿梅丽娅	Ā méi lì yà
Amélie	阿梅丽	Ā méi lí
Amelys	阿梅丽丝	Ā méi lì sī
Américo	阿梅里科	Ā méi lǐ kē
Ameur	阿莫尔	Ā mò ěr
Amie	艾米	Aì mǐ
Amilcar	阿米尔卡	Ā mǐ rkǎ
Amina	阿米娜	Ā mǐ nà
Aminata	阿米娜塔	Ā mǐ nà tǎ
Amine	阿明	Ā míng
Amir	阿米尔	Ā mǐ ěr
Amira	阿米拉	Ā mǐ lā
Amna	阿曼娜	Ā màn nà
Amor	阿莫尔	Ā mò ěr
Amor	eterno	永恒恋爱 Yǒng héng liàn Aì
Amory	阿毛利	Ā Máo lì
Amour	阿穆尔	Ā mù ěr
Amparo	安吧罗	Ān baluó
Amy	艾美	Aì měi
Ana	安娜	Ān nà
Ana-Maria	安娜玛丽亚	Ān nà Mǎ lì yà
Anabel	安娜佩尔	Ān nà pèi r
Anabela	安娜被拉	Ān nà bèi lā
Anabelle	阿娜贝	Ā nà Bèi
Anaé	安娜伊	Ān nà yī
Anaël	亚纳尔	Yà nà ěr
Anael	亚纳尔	Yà nà ěr
Anaëlle	安娜尔	Ān nà ěr
Anahí	安娜伊	Ān nà yī
Anahita	阿纳伊塔	Ā nà Yī tǎ
Anaïs	阿耐斯	Ā nài sī
Anakin	阿纳金	Ā nà Jīn
Analia	阿纳莉亚	Ā nà lì yà
Anas	阿娜丝	Ā nà sī
Anastasia	阿娜丝塔西亚	Ā nà sī tǎ xī yà
Anastasio	安纳斯塔西奥	Ān nà sī tǎ xī ào
Anatole	阿纳托尔	Ā nà tuō ěr
Anca	昂卡	Áng kǎ
Anchely	安池丽	Ān chí lì
Ancy	昂茜	Áng xī
Anda	安达	Ān dá
Andelin	安德林	Ān dé lín
Anderrson	安德森	Ān dé sēn
Anders	安德斯	Ān dé sī
Anderson	安德森	Ān dé sēn
Andra	昂德拉	Áng dé lā
Andre	安德烈	Ān dé liè
André	昂德烈	Áng dé liè
Andréa	安德丽娅	Ān dé lì yǎ
Andrea	安德丽娅	Ān dé lì yǎ
Andréa	安德丽娅	Ān dé lì yà
Andréanne	昂德蕾安	Áng dé lěi ān
Andreas	安德雷斯	Ān dé léi sī
Andree	安德莉	Ān dé lì
Andrée	安德蕾	Ān dé lěi
Andréia	安德丽娅	Ān dé lì yà
Andreia	安德蕾娅	Ān dé lěi yà
Andrés	安德烈斯	Ān dé liè sī
Andres	安德雷斯	Ān dé léi sī
Andressa	安德蕾萨	Ān dé lěi sà
Andreu	安德雷	Ān dé léi
Andrew	安德鲁	Ān dé lǔ
Andreza	安德蕾萨	Ān dé lěi sà
Andrzej	安德雷	Ān dé léi
Andy	安迪	Ān dí
Anésio	安埃西奥	Ān Aī xī ào
Ange	昂热	Áng rè
Angee	安吉	Ān jí
Ángel	安赫尔	Ān hèr
Ángel	安杰尔	Ān Jié ěr
Angela	安吉拉	Ān jí lā
Angèle	昂日尔	Áng rì ěr
Ángeles	安赫莱斯	Ān hè lái sī
Angélica	安赫利卡	Ān hè lì kǎ
Angelica	安杰丽珂	Ān Jié lì kē
Angelina	安吉丽娜	Ān jí lì nà
Angéline	安热琳	Ān rè lín
Angeline	昂热琳	Áng rè lín
Angélique	安热莉克	Ān rè lì kè
Angelique	安吉里克	Ān jí lǐ kè
Angelo	安吉洛	Ān jí luò
Ángels	安杰尔丝	Ān Jié ěr sī
Angharad	安哈蕾德	Ān hā lěi dé
Angie	安吉	Ān jí
Aniara	安妮娅拉	Ān nī yà lā
Aníbal	阿尼瓦尔	Ā ní wǎ r
Anica	阿妮卡	Ā nī kǎ
Aniceto	阿尼塞托	Ā ní sài tuō
Anik	阿妮克	Ā nī kè
Anika	阿妮卡	Ā nī kǎ
Anis	阿妮斯	Ā nī sī
Anisa	安妮莎	Ān ní shā
Anissa	安妮莎	Ān ní shā
Anita	安妮塔	Ān nī tǎ
Anja	安亚	Ān yà
Ankémi	昂克米	Áng kè mǐ
Ann	安	Ān
Anna	安娜	Ān nà
Anna	阿娜	Ā nà
Annabelle	安娜贝拉	Ān nà bèi lā
Annaïg	阿娜伊克	Ā nà Yī kè
Annaïk	阿耐克	Ā nài kè
Annamaria	安娜玛丽亚	Ān nà Mǎ lì yà
Anne	安	Ān
Anne-Claire	安·克莱尔	Ān kè lái ěr
Anne-France	安·弗朗丝	Ān fú lǎng sī
Anne-Gaëlle	安盖尔	Ān Gài ěr
Anne-Laure	安·罗尔	Ān luó ěr
Anne-Lise	安·丽丝	Ān lí sī
Anne-Marie	安·玛丽	Ān mǎ lì
Anne-Sophie	安·苏菲	Ān sū fēi
Annelie	安内莉	Ān nèi lì
Annette	安妮特	Ān nī té
Annick	安尼克	Ān ní kè
Annie	安妮	Ān nī
Annika	阿尼卡	Ā ní kǎ
Annitia	阿妮蒂娅	Ā nī dì yà
Anny	阿妮	Ā nī
Anouchka	阿努什卡	Ā nǔ shí kǎ
Anouck	阿努克	Ā nǔ kè
Anouk	阿努克	Ā nǔ kè
Anoushka	阿努什卡	Ā nǔ shí kǎ
Anselmo	安塞尔莫	Ān sài rmò
Antero	安特罗	Ān tè luó
Anthea	安西娅	Ān xī yà
Anthony	安东尼	Ān dōng ní
Anthony	安托尼	Ān tuō ní
Antígono	安蒂戈诺	Ān dì gē nuò
Antje	安帖	Ān tiě
Anto	安托	Ān tuō
Antoine	安托万	Ān tuō wàn
Antoinette	安托瓦内特	Ān tuō wǎ nèi tè
Antona	安托娜	Ān tuō nà
Antonela	安托内拉	Ān tuō nèi lā
Antonella	安托内拉	Ān tuō nèi lā
Antonette	安托内特	Ān tuō nèi tè
Antoni	安托尼	Ān tuō ní
Antoni	安托尼	Ān tuō ní
Antonia	安东尼亚	Ān dōng ní yà
Antónia	安托妮娅	Ān tuō nī yà
Antonietta	安托涅塔	Ān tuō niè tǎ
Antonin	安托宁	Ān tuō níng
Antonio	安东尼奥	Ān dōng ní ào
António	安东尼奥	Ān dōng ní ào
António	安东尼奥	Ān dōng ní ào
Antony	安东尼	Ān dōng ní
Antony	安托尼	Ān tuō ní
Anya	阿妮亚	Ā nī yà
Anybel	阿妮贝	Ā nī Bèi
Aodren	奥德琳	Aò dé lín
Aolei	奥蕾	Aò lěi
Aonzo	阿昂佐	Ā áng zuǒ
Aora	奥拉	Aò lā
Aparecida	阿琶蕾茜达	Ā pá lěi xī dá
Apdil	阿卜蒂尔	Ā bù dì ěr
Apolinario	阿波利纳里奥	Ā bō lì nà lǐ ào
Apolline	阿波琳	Ā bō lín
Apollon	阿波罗	Ā bō luō
Apolodoro	阿波洛多罗	Ā bō luò duō luó
Apolonio	阿波洛尼奥	Ā bō luò ní ào
Appoline	阿波琳	Ā bō lín
April	艾普尔	Aì pǔ ěr
Aquiles	阿基莱斯	Ā jī lái sī
Aquilino	阿基利诺	Ā jī lì nuò
Arabesco	阿拉贝斯克	Ā lā Bèi sī kè
Araceli	阿拉塞利	Ā lā sāi lì
Arachele	阿拉诗	Ā lā shī
Aramaico	阿拉麦克	Ā lā Mài kè
Arancha	阿兰查	Ā lán chá
Arcadio	阿卡迪奥	Ā kǎ dí ào
Archibald	阿尔希巴	Ā ěr xī Bā
Arelis	阿蕾莉丝	Ā lěi lì sī
Ari	阿丽	Ā lì
Ariadna	阿丽娅德娜	Ā lì yà dé nà
Ariadna	阿莉娅德娜	Ā lì yà dé nà
Ariana	艾丽安娜	Aì lí ān nà
Ariane	艾丽安	Aì lí ān
Arianna	艾丽安娜	Aì lí ān nà
Arianne	艾丽安	Aì lí ān
Aricia	阿丽霞	Ā lì xiá
Ariel	亚列	Yà liè
Arielle	艾丽尔	Aì lì ěr
Ariene	阿莲	Ā lián
Arif	阿里夫	Ā lǐ fū
Aris	阿里斯	Ā lǐ sī
Aristóbolo	阿里斯托沃夫	Ā lǐ sī tuō wò fū
Aristófanes	阿里斯托法内斯	Ā lǐ sī tuō fǎ nèi sī
Arizona	亚利桑那	Yà lì sāng nà
Arkyabouski	阿尔卡布斯吉	Ā ěr Kǎ Bù sī Jí
Arla	阿尔拉	Ā ěr lā
Arlette	阿尔蕾特	Ā ěr lěi tè
ArLyson	阿尔丽森	Ā ěr lì sēn
Armand	阿尔芒	Ā ěr máng
Armando	阿曼多	Ā màn duō
Armelle	阿尔梅	Ā ěr méi
Armindo	阿尔敏多	Ā ěr mǐn duō
Arnaldo	阿纳尔多	Ā nà rduō
Arnau	阿尔瑙	Ā ěr nǎo
Arnau	阿尔诺	Ā ěr nuò
Arnaud	阿尔诺	Ā ěr nuò
Arnauld	阿尔诺	Ā ěr nuò
Arnold	阿尔诺德	Ā ěr nuò dé
Arnowde	阿尔诺德	Ā ěr nuò dé
Aroa	阿洛阿	Ā luò Ā
Aroha	奥哈	Aò Hā
Aroldo	阿罗多	Ā luó duō
Arreola	阿雷奥拉	Ā léi ào lā
Arriano	阿里亚诺	Ā lǐ yà nuò
Arris	阿利斯	Ā lì sī
Arsène	亚森	Yà sēn
Arsenio	阿赛尼奥	Ā sài ní ào
Arshad	阿尔莎德	Ā ěr shā dé
Artemis	阿特弥斯	Ā té mí sī
Arthaud	阿尔托	Ā ěr tuō
Arthur	阿瑟	Ā sè
Arthur	阿尔图	Ā ěr tú
Artur	阿尔图	Ā ěr tú
Arturo	阿图罗	Ā tú luó
Arun	阿昏	Ā hūn
Arys	阿里斯	Ā lǐ sī
Ascensión	阿松森	Ā sōng sēn
Aseneth	阿斯内特	Ā sī nèi tè
Ashanti	阿善蒂	Ā shàn dì
Ashika	阿希卡	Ā xī Kǎ
Ashley	艾什莉	Aì shí lì
Ashlyn	阿什琳	Ā shí lín
Ashok	阿苏克	Ā sū kè
Asier	阿西尔	Ā xī ěr
Asmaa	阿丝玛	Ā sī mǎ
Assetou	阿斯图	Ā sī tú
Assia	阿茜娅	Ā xī yà
Asstou	阿斯图	Ā sī tú
Assumpta	阿笋塔	Ā sǔn tǎ
Assunção	阿笋萨奥	Ā sǔn sà ào
Assunpció	阿笋秀	Ā sǔn Xiù
Assuramaya	阿苏拉玛雅	Ā Sū lā Mǎ Yǎ
Aston	阿斯顿	Ā sī dùn
Astrid	阿斯特丽德	Ā sī té lì dé
Asturia	阿斯图里亚	Ā sī tú lǐ yà
Asunción	亚松森	Yà sōng sēn
Aswimi	阿斯薇米	Ā sī wēi mǐ
Atanasia	阿塔娜西亚	Ā tǎ nà xī yà
Athalya	阿塔丽娅	Ā tǎ lì yà
Athéna	雅典娜	Yǎ diǎn nà
Atila	阿蒂拉	Ā dì lā
Atilano	阿提拉诺	Ā tí lā nuò
Atílio	阿迪利奥	Ā dí lì ào
Atilla	阿迪拉	Ā dí lā
Atsaliya	阿德萨丽雅	Ā dé sà lì Yǎ
Aubin	奥宾	Aò bīn
Aubouin	奥布昂	Aò bù áng
Aude	奥德	Aò dé
Audréanne	奥德蕾安	Aò dé lěi ān
Audrey	奥黛丽	Aō dài lì
August	奥古斯特	Aò gǔ sī tè
Augusta	奥古斯塔	Aò gǔ sī tǎ
Auguste	奥古斯特	Aò gǔ sī tè
Augustin	奥古斯丁	Aò gǔ sī dīng
Augustine	奥古斯丁	Aò gǔ sī dīng
Augusto	奥古斯托	Aò gǔ sī tuō
Aura	奥拉	Aò lā
Aurane	奥兰	Aò lán
Aure	奥尔	Aò ěr
Aurea	奥乐阿	Aò lè ā
Auréane	奥黑安	Aò hēi ān
Aurelia	奥蕾莉娅	Aò lěi lì yà
Aureliano	奥雷利亚诺	Aò léi lì yà nuò
Aurélie	奥黑莉	Aò hēi lì
Aurélien	奥雷里安	Aò léi lǐ ān
Aurelio	奥雷利奥	Aò léi lì ào
Auriane	奥丽安	Aò lí ān
Aurora	奥罗拉	Aò luó lā
Aurore	奥罗尔	Aò luō ěr
Austin	奥斯汀	Aò sī dīng
Auxanne	奥科散	Aò kē sǎn
Ava	阿瓦	Ā wǎ
Avelino	阿维利诺	Ā wéi lì nuò
Avril	艾薇儿	Aì wēi ér
Avrile	艾薇儿	Aì wēi ér
Axel	阿克瑟尔	Ā kè sè ěr
Axelle	阿克塞拉	Ā kè sāi lā
Aya	阿娅	Ā yà
Ayala	阿亚拉	Ā yà lā
Aydan	埃旦	Aī dàn
Aylah	艾拉	Aì lā
Ayleen	艾琳	Aì lín
Aymane	埃曼	Aī màn
Aymé	埃梅	Aī méi
Aymerick	艾默里克	Aì mò lǐ kè
Ayoub	阿由布	Ā yóu bù
Ayrton	阿依顿	Ā yī dùn
Ayumi	阿玉米	Ā yù mǐ
Azahara	阿萨阿拉	Ā sà ā lā
Azelino	阿兹丽诺	Ā zī lì nuò
Azhari	阿萨利	Ā sà lì
Azhura	阿苏拉	Ā Sū lā
