# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
妃	3296	fei1
噱	3297	jue2
埠	3298	bu4
硫	3299	liu2
裊	3300	niao3
閻	3301	yan2
狡	3302	jiao3
橙	3303	cheng2
蹄	3304	ti2
薔	3305	qiang2
豚	3306	tun2
琶	3307	ba0
炭	3308	tan4
冀	3309	ji4
祟	3310	sui4
鷺	3311	lu4
喙	3312	hui4
靡	3313	mi3
糙	3314	cao1
炊	3315	chui1
塘	3316	tang2
筷	3317	kuai4
媳	3318	xi2
懈	3319	xie4
瓢	3320	piao2
橡	3321	xiang4
廝	3322	si1
嫂	3323	sao3
暸	3324	liao3
兌	3325	dui4
攸	3326	you1
唆	3327	suo1
溼	3328	shi1
塚	3329	zhong3
搪	3330	tang2
茄	3331	jia1
膛	3332	tang2
祉	3333	zhi3
氫	3334	qing1
炬	3335	ju4
瓷	3336	ci2
攬	3337	lan3
挾	3338	jia2
霆	3339	ting2
贅	3340	zhui4
苓	3341	ling2
桐	3342	tong2
鍍	3343	du4
狷	3344	juan4
踹	3345	chuai4
嫉	3346	ji2
呸	3347	pei1
砌	3348	qi4
咆	3349	pao2
蜢	3350	meng3
藻	3351	zao3
愣	3352	leng4
瘤	3353	liu2
鞠	3354	ju2
瑣	3355	suo3
墅	3356	shu4
呎	3357	chi3
睏	3358	kun4
牟	3359	mou2
郡	3360	jun4
饗	3361	xiang3
鉅	3362	ju4
遐	3363	xia2
胺	3364	an1
霄	3365	xiao1
蝠	3366	fu2
猿	3367	yuan2
沐	3368	mu4
摟	3369	lou3
曦	3370	xi1
錚	3371	zheng1
煚	3372	jiong3
傀	3373	gui1
燼	3374	jin4
韜	3375	tao1
璇	3376	xuan2
艷	3377	yan4
侃	3378	kan3
颺	3379	yang2
疚	3380	jiu4
蹦	3381	beng4
恬	3382	tian2
霈	3383	pei4
璧	3384	bi4
屜	3385	ti4
篤	3386	du3
鵑	3387	juan1
荊	3388	jing1
昶	3389	chang3
咽	3390	yan1
諱	3391	hui4
屌	3392	diao3
憎	3393	zeng1
裳	3394	chang2
陡	3395	dou3
楞	3396	leng4
洶	3397	xiong1
耘	3398	yun2
嚨	3399	long2
莘	3400	xin1
淼	3401	miao3
銓	3402	quan2
酵	3403	xiao4
嗤	3404	chi1
鷥	3405	si1
煜	3406	yu4
轍	3407	che4
厝	3408	cuo4
嗓	3409	sang3
揍	3410	zou4
偕	3411	jie1
簫	3412	xiao1
摺	3413	zhe2
鞏	3414	gong3
烹	3415	peng1
戌	3416	xu1
盔	3417	kui1
傭	3418	yong1
骯	3419	ang1
蚱	3420	zha4
烙	3421	lao4
慷	3422	kang1
嶸	3423	rong2
徜	3424	chang2
偈	3425	jie2
焰	3426	yan4
誅	3427	zhu1
啾	3428	jiu1
藹	3429	ai3
曙	3430	shu4
蚵	3431	e2
憨	3432	han1
悽	3433	qi1
峨	3434	e2
磯	3435	ji1
蒲	3436	pu2
涓	3437	juan1
茉	3438	mo4
揉	3439	rou2
饑	3440	ji1
閑	3441	xian2
璟	3442	jing3
畸	3443	ji1
鯽	3444	ji4
鯉	3445	li3
銬	3446	kao4
雋	3447	juan4
岐	3448	qi2
誨	3449	hui3
稽	3450	ji1
戊	3451	wu4
臻	3452	zhen1
繃	3453	beng1
舵	3454	duo4
扒	3455	pa2
巳	3456	si4
羔	3457	gao1
睬	3458	cai3
恁	3459	ren4
艙	3460	cang1
癸	3461	gui3
紡	3462	fang3
煒	3463	wei3
韌	3464	ren4
擷	3465	jie2
弔	3466	diao4
娑	3467	suo1
冕	3468	mian3
豁	3469	huo4
碘	3470	dian3
摳	3471	kou1
肘	3472	zhou3
臆	3473	yi4
曇	3474	tan2
抨	3475	peng1
熔	3476	rong2
駒	3477	ju1
壩	3478	ba4
絞	3479	jiao3
疇	3480	chou2
珈	3481	jia1
骷	3482	ku1
肛	3483	gang1
朧	3484	long2
榨	3485	zha4
嫣	3486	yan1
媛	3487	yuan2
纜	3488	lan3
褪	3489	tun4
酹	3490	lei4
趾	3491	zhi3
昀	3492	yun2
舖	3493	pu1
羹	3494	geng1
柚	3495	you4
搔	3496	sao1
眨	3497	zha3
堇	3498	jin3
靨	3499	ye4
鞍	3500	an1
鏟	3501	chan3
蝙	3502	bian1
哺	3503	bu3
霓	3504	ni2
惆	3505	chou2
癱	3506	tan1
訕	3507	shan4
蛻	3508	tui4
聾	3509	long2
沼	3510	zhao3
憋	3511	bie1
韶	3512	shao2
枷	3513	jia1
懊	3514	ao4
惚	3515	hu1
篩	3516	shai1
巒	3517	luan2
凜	3518	lin3
硝	3519	xiao1
丫	3520	ya1
玖	3521	jiu3
忱	3522	chen2
嵩	3523	song1
褚	3524	chu3
絢	3525	xuan4
拌	3526	ban4
葭	3527	jia1
汎	3528	fan4
鸚	3529	ying1
嶽	3530	yue4
祁	3531	qi2
矜	3532	guan1
盎	3533	ang4
噫	3534	yi1
筑	3535	zhu2
憩	3536	qi4
婊	3537	biao3
鵡	3538	wu3
羈	3539	ji1
娥	3540	e2
鏢	3541	biao1
蒹	3542	jian1
硨	3543	che1
袒	3544	tan3
塹	3545	qian4
悴	3546	cui4
瘡	3547	chuang1
窘	3548	jun3
俾	3549	bei1
詬	3550	gou4
亢	3551	kang4
蜴	3552	yi4
祠	3553	ci2
扼	3554	e4
厥	3555	jue2
蛤	3556	ge2
痊	3557	quan2
茱	3558	zhu1
笈	3559	ji2
儼	3560	yan3
騏	3561	qi2
榴	3562	liu2
蒜	3563	suan4
鬚	3564	xu1
髏	3565	lou2
奄	3566	yan1
砰	3567	peng1
迢	3568	tiao2
蜥	3569	xi1
縷	3570	lv3
鯨	3571	jing1
葔	3572	hou2
糢	3573	mo2
眩	3574	xuan4
棧	3575	zhan4
吱	3576	zhi1
戮	3577	lu4
夸	3578	kua1
樟	3579	zhang1
笠	3580	li4
杭	3581	hang2
棘	3582	ji2
咸	3583	xian2
籬	3584	li2
慵	3585	yong1
荼	3586	tu2
漣	3587	lian2
櫥	3588	chu2
捶	3589	chui2
庶	3590	shu4
荐	3591	jian4
吏	3592	li4
芯	3593	xin1
禾	3594	he2
巔	3595	dian1
肋	3596	le4
侖	3597	lun2
跆	3598	tai2
鳩	3599	jiu1
恣	3600	zi4
蔬	3601	shu1
跎	3602	tuo2
徉	3603	yang2
艸	3604	cao3
揀	3605	jian3
嚀	3606	ning2
鱷	3607	e4
蜻	3608	qing1
嬉	3609	xi1
瑾	3610	jin3
沁	3611	qin4
嗽	3612	sou4
藩	3613	fan2
鹼	3614	jian3
匕	3615	bi3
驛	3616	yi4
酋	3617	qiu2
虜	3618	lu3
噩	3619	e4
萌	3620	meng2
奠	3621	dian4
墉	3622	yong1
嗆	3623	qiang4
躇	3624	chu2
兢	3625	jing1
翱	3626	ao2
泠	3627	ling2
梢	3628	shao1
儉	3629	jian3
甸	3630	dian4
薑	3631	jiang1
詣	3632	yi4
翡	3633	fei3
竇	3634	dou4
瘖	3635	yin1
僥	3636	jiao3
蟀	3637	shuo4
撓	3638	nao2
躊	3639	chou2
蜓	3640	ting2
緬	3641	mian3
擻	3642	sou3
憔	3643	qiao2
渲	3644	xuan1
梟	3645	xiao1
耙	3646	ba4
惋	3647	wan3
塾	3648	shu2
訐	3649	jie2
觴	3650	shang1
皈	3651	gui1
蛀	3652	zhu4
眶	3653	kuang4
殭	3654	jiang1
愴	3655	chuang4
噗	3656	pu1
竺	3657	zhu2
灸	3658	jiu3
幌	3659	huang3
稟	3660	bing3
痲	3661	ma2
傌	3662	ma4
欒	3663	luan2
羲	3664	xi1
窯	3665	yao2
慟	3666	tong4
愕	3667	e4
塢	3668	wu4
葷	3669	hun1
炯	3670	jiong3
澱	3671	dian4
佼	3672	jiao3
腺	3673	xian4
埸	3674	chang2
膺	3675	ying1
繆	3676	mou2
扑	3677	pu1
綴	3678	zhui4
冶	3679	ye3
灼	3680	zhuo2
旱	3681	han4
勛	3682	xun1
沱	3683	tuo2
嘖	3684	ze2
嗈	3685	yong1
霎	3686	sha4
耨	3687	nou4
泄	3688	xie4
儸	3689	luo2
紊	3690	wen4
噶	3691	ga2
孵	3692	fu1
剔	3693	ti1
圳	3694	zun4
冉	3695	ran3
臼	3696	jiu4
抴	3697	yi4
蹉	3698	cuo1
褒	3699	bao1
粘	3700	nian2
怔	3701	zheng1
侷	3702	ju2
雌	3703	ci2
淤	3704	yu1
檻	3705	jian4
頤	3706	yi2
彤	3707	tong2
蠣	3708	li4
綾	3709	ling2
朕	3710	zhen4
俟	3711	si4
霏	3712	fei1
蕪	3713	wu2
梧	3714	wu2
殆	3715	dai4
妾	3716	qie4
諂	3717	chan3
狙	3718	ju1
甭	3719	beng2
煦	3720	xu3
眛	3721	mei4
酪	3722	luo4
瑚	3723	hu2
揪	3724	jiu1
扉	3725	fei1
諭	3726	yu4
瞇	3727	mi1
漓	3728	li2
机	3729	ji1
蟋	3730	xi1
揖	3731	yi1
幢	3732	chuang2
匈	3733	xiong1
瀕	3734	bin1
雍	3735	yong1
閹	3736	yan1
蠹	3737	du4
琇	3738	xiu4
渠	3739	qu2
惦	3740	dian4
愷	3741	kai3
嶄	3742	zhan3
餾	3743	liu4
餒	3744	nei3
兀	3745	wu4
訢	3746	xin1
嬋	3747	chan2
褻	3748	xie4
炙	3749	zhi4
鑿	3750	zao2
迂	3751	yu1
姥	3752	lao3
玟	3753	wen2
釷	3754	tu3
訟	3755	song4
葳	3756	wei1
漪	3757	yi1
咐	3758	fu4
骰	3759	shai3
踅	3760	xue2
嫻	3761	xian2
辮	3762	bian4
訛	3763	e2
猖	3764	chang1
汶	3765	wen4
咻	3766	xiu1
儷	3767	li4
佢	3768	ju4
烽	3769	feng1
囝	3770	nan1
踮	3771	dian4
葫	3772	hu2
晏	3773	yan4
僱	3774	gu4
誣	3775	wu2
癥	3776	zheng1
桔	3777	jie2
罣	3778	gua4
囑	3779	zhu3
飪	3780	ren4
癖	3781	pi4
彪	3782	biao1
俘	3783	fu2
渚	3784	zhu3
咄	3785	duo4
褔	3786	fu2
詔	3787	zhao4
庇	3788	bi4
侈	3789	chi3
縈	3790	ying2
箔	3791	bo2
舔	3792	tian3
璽	3793	xi3
擂	3794	lei2
鯊	3795	sha1
迺	3796	nai3
鮑	3797	bao4
遑	3798	huang2
藺	3799	lin4
疹	3800	zhen3
洒	3801	sa3
顱	3802	lu2
辟	3803	bi4
褐	3804	he2
茗	3805	ming2
瞋	3806	chen1
熹	3807	xi1
桓	3808	huan2
蓊	3809	weng3
慄	3810	li4
弋	3811	yi4
羿	3812	yi4
噬	3813	shi4
籐	3814	teng2
窒	3815	zhi4
碴	3816	cha2
跋	3817	ba2
臀	3818	tun2
肪	3819	fang2
罹	3820	li2
睦	3821	mu4
瘓	3822	huan4
槌	3823	chui2
瀛	3824	ying2
胚	3825	pei1
漾	3826	yang4
揹	3827	bei1
釗	3828	zhao1
璀	3829	cui3
拇	3830	mu3
卉	3831	hui4
諺	3832	yan4
娣	3833	di4
鞘	3834	qiao4
鉗	3835	qian2
羚	3836	ling2
吩	3837	fen1
晒	3838	shai4
竣	3839	jun4
熾	3840	chi4
翎	3841	ling2
惺	3842	xing1
跛	3843	bo3
洹	3844	huan2
勦	3845	jiao3
丕	3846	pi1
蛾	3847	e2
翊	3848	yi4
璁	3849	cong1
撩	3850	liao2
譎	3851	jue2
穀	3852	gu3
氯	3853	lv4
攘	3854	rang2
鈣	3855	gai4
痔	3856	zhi4
漱	3857	shu4
噯	3858	ai4
婿	3859	xu4
軾	3860	shi4
瘀	3861	yu1
滸	3862	hu3
漩	3863	xuan2
昕	3864	xin1
靄	3865	ai3
垣	3866	yuan2
骸	3867	hai2
瞥	3868	pie1
尸	3869	shi1
咯	3870	ge2
剿	3871	jiao3
貍	3872	li2
咿	3873	yi1
繹	3874	yi4
磷	3875	lin2
霾	3876	mai2
槳	3877	jiang3
燿	3878	yao4
棕	3879	zong1
筍	3880	sun3
吽	3881	ou2
鎔	3882	rong2
遴	3883	lin2
俑	3884	yong3
婪	3885	lan2
咨	3886	zi1
敕	3887	chi4
孺	3888	ru2
訥	3889	na4
矗	3890	chu4
氮	3891	dan4
尪	3892	wang1
鵲	3893	que4
靴	3894	xue1
靚	3895	jing4
裴	3896	pei2
寐	3897	mei4
仝	3898	tong2
鬢	3899	bin4
磕	3900	ke1
洸	3901	guang1
隕	3902	yun3
荻	3903	di2
蚣	3904	gong1
汞	3905	gong3
珀	3906	po4
瀝	3907	li4
佯	3908	yang2
咀	3909	ju3
榷	3910	que4
暐	3911	wei3
鸝	3912	li2
簇	3913	cu4
隍	3914	huang2
鎳	3915	nie4
痺	3916	bi4
椏	3917	ya1
簣	3918	kui4
籽	3919	zi3
瘴	3920	zhang1
胥	3921	xu1
痠	3922	suan1
濯	3923	zhuo2
徙	3924	xi3
朴	3925	pu2
撮	3926	cuo1
搧	3927	shan1
弩	3928	nu3
寅	3929	yin2
竑	3930	hong2
殉	3931	xun4
麓	3932	lu4
堉	3933	yu4
嗔	3934	chen1
蚓	3935	yin3
睞	3936	lai4
墟	3937	xu1
疙	3938	ge1
垠	3939	yin2
蜈	3940	wu2
嬴	3941	ying2
崢	3942	zheng1
夙	3943	su4
嗅	3944	xiu4
璜	3945	huang2
仆	3946	pu1
蜍	3947	chu2
峭	3948	qiao4
蚯	3949	qiu1
聿	3950	yu4
闋	3951	que4
檀	3952	tan2
鈑	3953	ban3
鰻	3954	man2
罔	3955	wang3
摹	3956	mo2
蠱	3957	gu3
葾	3958	yuan1
箋	3959	jian1
拈	3960	nian3
媲	3961	pi4
湄	3962	mei2
擄	3963	lu3
鴕	3964	tuo2
謾	3965	man2
矚	3966	zhu3
垚	3967	yao2
躪	3968	lin4
賬	3969	zhang4
崚	3970	leng2
邃	3971	sui4
蔗	3972	zhe4
瘩	3973	da1
樊	3974	fan2
韃	3975	da2
沂	3976	yi2
亙	3977	gen4
蹂	3978	rou2
粱	3979	liang2
旄	3980	mao2
諳	3981	an1
紓	3982	shu1
捫	3983	men2
螳	3984	tang2
焜	3985	kun1
叨	3986	dao1
曄	3987	ye4
喈	3988	jie1
劭	3989	shao4
閨	3990	gui1
瀆	3991	du2
漬	3992	zi4
雱	3993	pang2
憚	3994	dan4
乩	3995	ji1
淮	3996	huai2
奚	3997	xi1
坷	3998	ke3
稠	3999	chou2
睽	4000	kui2
拗	4001	ao4
跩	4002	zhuai3
酗	4003	xu4
彆	4004	bie4
浙	4005	zhe4
鋇	4006	bei4
齷	4007	wo4
饕	4008	tao1
隼	4009	zhun3
誹	4010	fei3
箍	4011	gu1
琢	4012	zhuo2
陞	4013	sheng1
蓁	4014	zhen1
掐	4015	qia1
吮	4016	shun3
寨	4017	zhai4
驥	4018	ji4
敖	4019	ao2
酉	4020	you3
咩	4021	mie1
酣	4022	han1
虱	4023	shi1
篷	4024	peng2
癲	4025	dian1
欸	4026	ai3
媄	4027	mei3
驍	4028	xiao1
遏	4029	e4
睭	4030	zhou3
湃	4031	pai4
岑	4032	cen2
万	4033	wan4
簷	4034	yan2
濺	4035	jian1
匱	4036	kui4
鬩	4037	xi4
鑣	4038	biao1
滂	4039	pang1
戾	4040	li4
芻	4041	chu2
竽	4042	yu2
銃	4043	chong4
烜	4044	xuan3
燉	4045	dun4
渥	4046	wo4
鑲	4047	xiang1
衿	4048	jin1
瞑	4049	ming2
粟	4050	su4
錘	4051	chui2
笆	4052	ba1
摻	4053	chan1
蛹	4054	yong3
梖	4055	bei4
吁	4056	xu1
賏	4057	ying4
烷	4058	wan2
恙	4059	yang4
崛	4060	jue2
譙	4061	qiao2
綢	4062	chou2
榻	4063	ta4
嶇	4064	qu1
孜	4065	zi1
遽	4066	ju4
卍	4067	wan4
贔	4068	bi4
爻	4069	yao2
驂	4070	can1
葆	4071	bao3
娓	4072	wei3
餿	4073	sou1
潢	4074	huang2
棗	4075	zao3
捅	4076	tong3
庵	4077	an1
庠	4078	xiang2
嚥	4079	yan4
剷	4080	chan3
垛	4081	duo3
鯰	4082	nian3
迭	4083	die2
町	4084	ting3
狽	4085	bei4
圃	4086	pu3
嗦	4087	suo1
澹	4088	dan4
漳	4089	zhang1
齪	4090	chuo4
隴	4091	long3
厘	4092	li2
蟆	4093	ma0
杵	4094	chu3
哞	4095	mou2
慫	4096	song3
髦	4097	mao2
苯	4098	ben3
潞	4099	lu4
揆	4100	kui2
懵	4101	meng2
姪	4102	zhi2
詫	4103	cha4
賂	4104	lu4
琬	4105	wan3
橢	4106	tuo3
鏞	4107	yong1
諄	4108	zhun1
詼	4109	hui1
皎	4110	jiao3
峘	4111	hu1
佗	4112	tuo2
貽	4113	yi2
邇	4114	er3
逑	4115	qiu2
殤	4116	shang1
摒	4117	bing4
悚	4118	song3
忡	4119	chong1
壬	4120	ren2
糯	4121	nuo4
孚	4122	fu2
喳	4123	cha1
劾	4124	he2
濂	4125	lian2
佣	4126	yong4
馥	4127	fu4
餡	4128	xian4
緹	4129	ti2
榆	4130	yu2
鬨	4131	hong4
踝	4132	huai2
鎘	4133	ge2
迥	4134	jiong3
猥	4135	wei3
拎	4136	ling1
叱	4137	chi4
鱈	4138	xue3
膿	4139	nong2
悖	4140	bei4
邰	4141	tai2
臍	4142	ji1
砥	4143	di3
盥	4144	guan4
潺	4145	chan2
柿	4146	shi4
鎂	4147	mei3
腑	4148	fu3
攢	4149	zan3
隋	4150	sui2
閘	4151	zha2
碇	4152	ding4
嗣	4153	si4
豺	4154	chai2
冇	4155	mou3
傜	4156	yao2
萼	4157	e4
肄	4158	yi4
梗	4159	geng3
搥	4160	chui2
咁	4161	gan1
魷	4162	you2
鑾	4163	luan2
衙	4164	ya2
畝	4165	mu3
沽	4166	gu1
枋	4167	fang1
錨	4168	mao2
篡	4169	cuan4
璨	4170	can4
鎗	4171	qiang1
蔫	4172	yan1
籟	4173	lai4
泯	4174	min3
拽	4175	ye4
黝	4176	you3
貯	4177	zhu3
戎	4178	rong2
剌	4179	la2
徠	4180	lai2
鈦	4181	tai4
沃	4182	wo4
妍	4183	yan2
逵	4184	kui2
嗩	4185	suo3
唄	4186	bai4
馭	4187	yu4
恿	4188	yong3
闔	4189	he2
鈿	4190	dian4
胤	4191	yin4
灶	4192	zao4
昊	4193	hao4
沬	4194	mei4
筐	4195	kuang1
琅	4196	lang2
浣	4197	wan3
牒	4198	die2
杞	4199	qi3
鉦	4200	zheng1
荃	4201	quan2
驤	4202	xiang1
踼	4203	tang2
艋	4204	meng3
苞	4205	bao1
痣	4206	zhi4
澗	4207	jian4
洄	4208	hui2
痰	4209	tan2
牯	4210	gu3
啜	4211	chuo4
莞	4212	wan1
煇	4213	hui1
愜	4214	qie4
嗖	4215	sou1
鮭	4216	gui1
藕	4217	ou3
芮	4218	rui4
倏	4219	shu4
麾	4220	hui1
鼐	4221	nai4
雉	4222	zhi4
菠	4223	bo1
狒	4224	fei4
栩	4225	xu3
剽	4226	piao4
儺	4227	nuo2
仞	4228	ren4
筏	4229	fa2
柒	4230	qi1
妲	4231	da2
伎	4232	ji4
睫	4233	jie2
顰	4234	pin2
輦	4235	nian3
紜	4236	yun2
骼	4237	ge2
鐽	4238	da2
裱	4239	biao3
螫	4240	zhe1
愫	4241	su4
哮	4242	xiao1
雩	4243	yu2
釧	4244	chuan4
荀	4245	xun2
玠	4246	jie4
晤	4247	wu4
糜	4248	mi2
汨	4249	mi4
吆	4250	yao1
涌	4251	yong3
毗	4252	pi2
弼	4253	bi4
呷	4254	xia2
靦	4255	mian3
垓	4256	gai1
坍	4257	tan1
齁	4258	hou1
黴	4259	mei2
麴	4260	qu2
籮	4261	luo2
噠	4262	da2
乒	4263	ping1
鸞	4264	luan2
楨	4265	zhen1
悻	4266	xing4
悱	4267	fei3
躄	4268	bi4
緋	4269	fei1
綏	4270	sui1
歛	4271	lian4
旳	4272	di4
謔	4273	nue4
蒨	4274	qian4
偌	4275	ruo4
蜃	4276	shen4
冽	4277	lie4
薏	4278	yi4
瞰	4279	kan4
腆	4280	tian3
槭	4281	cu4
餞	4282	jian4
逄	4283	pang2
踱	4284	duo4
蝗	4285	huang2
宸	4286	chen2
浬	4287	li3
娼	4288	chang1
劊	4289	gui4
巿	4290	fu2
潦	4291	liao2
屹	4292	yi4
娉	4293	ping1
嗙	4294	pang3
唧	4295	ji1
唏	4296	xi1
蚌	4297	bang4
稔	4298	ren3
倔	4299	jue2
乓	4300	pang1
窠	4301	ke1
烸	4302	hai3
哽	4303	geng3
黌	4304	hong2
譁	4305	hua2
諫	4306	jian4
淦	4307	gan4
俸	4308	feng4
鰭	4309	qi2
碾	4310	nian3
癟	4311	bie3
齦	4312	yin2
覷	4313	qu4
毘	4314	pi2
檜	4315	kuai4
礪	4316	li4
帷	4317	wei2
魘	4318	yan3
蜿	4319	wan1
缽	4320	bo1
燊	4321	shen1
浯	4322	wu2
晌	4323	shang3
墩	4324	dun1
捆	4325	kun3
嵌	4326	qian1
釆	4327	bian4
謨	4328	mo2
脕	4329	wan3
徛	4330	qi1
鯤	4331	kun1
茸	4332	rong2
獗	4333	jue2
泱	4334	yang1
栓	4335	shuan1
崧	4336	song1
啐	4337	cui4
陲	4338	chui2
舫	4339	fang3
祀	4340	si4
崁	4341	kan3
謐	4342	mi4
蛟	4343	jiao1
磺	4344	huang2
琛	4345	chen1
捻	4346	nian3
姍	4347	xian1
閤	4348	ge2
瀅	4349	ying2
咋	4350	ze2
鋤	4351	chu2
蝌	4352	ke1
埵	4353	duo3
鼾	4354	han1
踞	4355	ju4
箇	4356	ge4
窿	4357	long2
弛	4358	chi2
蹶	4359	jue2
踵	4360	zhong3
荏	4361	ren3
滌	4362	di2
匝	4363	za1
糰	4364	tuan2
獃	4365	dai1
燁	4366	ye4
帑	4367	tang3
掬	4368	ju2
窪	4369	wa1
燻	4370	xun1
吒	4371	zha4
躋	4372	ji1
醞	4373	yun4
弭	4374	mi3
傯	4375	zong3
磐	4376	pan2
夯	4377	hang1
酯	4378	zhi3
嗇	4379	se4
蕨	4380	jue2
葯	4381	yao4
摃	4382	gong4
捱	4383	ai2
鰍	4384	qiu1
鉀	4385	jia3
鄺	4386	kuang4
絹	4387	juan4
瞿	4388	qu1
忝	4389	tian3
嗟	4390	jie1
鞦	4391	qiu1
舶	4392	bo2
繾	4393	qian3
晾	4394	liang4
嬤	4395	ma1
萏	4396	dan4
軋	4397	ya4
嬸	4398	shen3
詒	4399	yi2
蚪	4400	dou3
狩	4401	shou4
鷸	4402	yu4
縹	4403	piao3
獰	4404	ning2
爰	4405	yuan2
楔	4406	xie1
擘	4407	bo4
隹	4408	zhui1
埤	4409	bi4
騖	4410	wu4
餚	4411	yao2
鐮	4412	lian2
蹬	4413	deng4
芎	4414	qiong1
箝	4415	qian2
猾	4416	hua2
濡	4417	ru2
慍	4418	yun4
囈	4419	yi4
胱	4420	guang1
獺	4421	ta4
湮	4422	yan1
嗝	4423	ge2
菡	4424	han4
恫	4425	dong4
鈾	4426	you2
琥	4427	hu3
嚏	4428	ti4
啻	4429	chi4
鼴	4430	yan3
颯	4431	sa4
閡	4432	he2
邢	4433	xing2
謅	4434	zou1
蟒	4435	mang3
眈	4436	dan1
楹	4437	ying2
偃	4438	yan3
閭	4439	lv2
翌	4440	yi4
稷	4441	ji4
犁	4442	li2
宦	4443	huan4
剁	4444	duo4
儐	4445	bin1
箴	4446	zhen1
箕	4447	ji1
稼	4448	jia4
槐	4449	huai2
忖	4450	cun3
瘍	4451	yang2
甯	4452	ning2
戕	4453	qiang2
埕	4454	cheng2
喋	4455	die2
襠	4456	dang1
綣	4457	quan3
湍	4458	tuan1
暝	4459	ming2
薈	4460	hui4
琍	4461	li4
牴	4462	di3
槙	4463	dian1
懾	4464	zhe2
叟	4465	sou3
韆	4466	qian1
逖	4467	ti4
砷	4468	shen1
皿	4469	min3
瑯	4470	lang2
沅	4471	yuan2
嫵	4472	wu3
鯛	4473	diao1
菈	4474	la1
篆	4475	zhuan4
囤	4476	dun4
佞	4477	ning4
饞	4478	chan2
錮	4479	gu4
軼	4480	yi4
詆	4481	di3
樕	4482	su4
梆	4483	bang1
頷	4484	han4
豨	4485	xi1
緞	4486	duan4
猷	4487	you2
鷲	4488	jiu4
釜	4489	fu3
迸	4490	beng4
諍	4491	zheng1
蛆	4492	ju1
瑙	4493	nao3
瀧	4494	long2
愎	4495	bi4
阜	4496	fu4
褓	4497	bao3
濘	4498	neng4
俎	4499	zu3
醃	4500	yan1
詡	4501	xu3
玆	4502	zi1
昴	4503	mao3
攫	4504	jue2
怦	4505	peng1
嵋	4506	mei2
甡	4507	shen1
暄	4508	xuan1
幗	4509	guo2
宥	4510	you4
喫	4511	chi1
駑	4512	nu2
跚	4513	shan1
臧	4514	zang1
纓	4515	ying1
睪	4516	gao1
痧	4517	sha1
璉	4518	lian2
晞	4519	xi1
嘮	4520	lao2
儻	4521	tang3
衲	4522	na4
睨	4523	ni4
捎	4524	shao1
惻	4525	ce4
槁	4526	gao3
栱	4527	gong3
杳	4528	yao3
拮	4529	jie2
彧	4530	yu4
姣	4531	jiao1
簑	4532	suo1
忑	4533	te4
婢	4534	bi4
霽	4535	ji4
鉻	4536	ge4
躅	4537	zhu2
蝨	4538	shi1
腮	4539	sai1
忐	4540	tan3
嬿	4541	yan3
駟	4542	si4
炘	4543	xin1
秧	4544	yang1
渙	4545	huan4
忪	4546	zhong1
妤	4547	yu2
躑	4548	zhi2
滕	4549	teng2
氨	4550	an1
殯	4551	bin4
猙	4552	zheng1
戟	4553	ji3
僮	4554	tong2
鰣	4555	shi2
馱	4556	tuo2
癩	4557	lai4
錡	4558	qi2
謫	4559	zhe2
聒	4560	gua1
嫦	4561	chang2
驊	4562	hua2
餉	4563	xiang3
癈	4564	fei4
姒	4565	si4
菅	4566	jian1
胭	4567	yan1
緲	4568	miao3
淂	4569	de2
棣	4570	di4
据	4571	ju1
姝	4572	shu1
堐	4573	ya2
紕	4574	pi1
犛	4575	li2
椿	4576	chun1
捺	4577	na4
醺	4578	xun1
嘈	4579	cao2
嗷	4580	ao2
鹵	4581	lu3
鏗	4582	keng1
鈉	4583	na4
軔	4584	ren4
蜒	4585	yan2
涎	4586	xian2
蝟	4587	wei4
罈	4588	tan2
浚	4589	jun4
嶙	4590	lin2
婁	4591	lou2
郢	4592	ying3
鋰	4593	li3
邋	4594	la2
蓀	4595	sun1
猝	4596	cu4
拴	4597	shuan1
鱸	4598	lu2
銲	4599	han4
脯	4600	pu2
甕	4601	weng4
滬	4602	hu4
啵	4603	bo1
倭	4604	wo1
膊	4605	bo2
胳	4606	ge1
胯	4607	kua4
悌	4608	ti4
獠	4609	liao2
爿	4610	ban4
潁	4611	ying3
涘	4612	si4
峋	4613	xun1
鮀	4614	tuo2
邑	4615	yi4
腋	4616	yi4
瘁	4617	cui4
暾	4618	tun1
坻	4619	di3
舴	4620	ze2
鈃	4621	jian1
觔	4622	jin1
袓	4623	ju3
莠	4624	you3
綵	4625	cai3
澍	4626	shu4
桀	4627	jie2
柑	4628	gan1
帘	4629	lian2
岌	4630	ji2
喟	4631	kui4
褉	4632	xie1
蛢	4633	ping2
耆	4634	qi2
瞠	4635	cheng1
珣	4636	xun2
沚	4637	zhi3
蹴	4638	cu4
腓	4639	fei2
糸	4640	mi4
痢	4641	li4
伝	4642	yun2
餛	4643	hun2
飴	4644	yi2
芩	4645	qin2
熨	4646	yun4
勺	4647	shao2
韭	4648	jiu3
鑠	4649	shuo4
鑞	4650	la4
誑	4651	kuang2
膫	4652	liao2
璐	4653	lu4
幡	4654	fan1
娩	4655	wan3
